"KEY","UPDATE NEEDED","EN","DA","COMMENT"
"IDLE_TITLE","","Ready","Klar",""
"IDLE_VOTES_REGISTERED","","%1 votes registered","%1 stemmer afgivet",""
"IDLE_BUTTON_VOTE","","Vote","Stem",""
"IDLE_BUTTON_END","","End voting","Afslut afstemning",""
"CONFIGURE_TITLE","","Set pin code","Sæt pin kode",""
"SETUP_TITLE","","Templates","Skabeloner",""
"LICENSES_TITLE","","Licenses","Licenser",""
"LICENSES_ASSETS_TITLE","","Assets","Assets",""
"LICENSES_PACKAGES_TITLE","","Packages","Packages",""
"ALERT_END_SESSION_TITLE","","Locked","Kræver kode",""
"ALERT_END_SESSION_MESSAGE","","Enter pin code","Indtast pin kode",""
"ALERT_END_SESSION_INPUT_PLACEHOLER","","Pin code","Pin kode",""
"ALERT_INCORRECT_PIN_TITLE","","Failed","Fejl",""
"ALERT_INCORRECT_PIN_MESSAGE","","Incorrect pin code","Forkert pin kode",""
"ALERT_ABORT_SESSION_TITLE","","Are you sure?","Er du sikker?",""
"ALERT_ABORT_SESSION_MESSAGE","","All entered votes will be lost!","Alle afgivne stemmer vil gå tabt!",""
"GENERIC_OK","","OK","OK",""
"GENERIC_CANCEL","","Cancel","Annuller",""
"GENERIC_ABORT","","Abort","Afbryd",""
"GENERIC_SAVE","","Save","Gem",""
